ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
1385170009,2024-07-01T06:56:01.815000,2024-07-01T07:04:00.676000,sell,0.09,0.09,GBPUSDm,1.26847,1.26767,1.26824,,0,0,7.2,,,user
1385124080,2024-07-01T06:36:02.345000,2024-07-01T06:51:31.605000,sell,0.1,0.1,GBPUSDm,1.26834,1.26817,1.26817,,0,0,1.7,,,sl
1385089751,2024-07-01T06:23:08.643000,2024-07-01T06:51:02.645000,sell,0.02,0.02,XAUUSDm,2325.38,2325.4230000000002,,,0,0,-0.09,,,user
1385039022,2024-07-01T06:03:55.482000,2024-07-01T06:15:02.828000,buy,0.02,0.02,XAUUSDm,2323.429,2324.406,,,0,0,1.95,,,user
1384981576,2024-07-01T05:40:39.477000,2024-07-01T06:01:29.348000,sell,0.09,0.09,GBPUSDm,1.26626,1.26707,,1.26627,0,0,-7.29,-0.81,,so
1384924781,2024-07-01T05:16:50.466000,2024-07-01T05:39:57.991000,buy,0.02,0.02,XAUUSDm,2322.257,2321.487,,,0,0,-1.54,,,user
1384833055,2024-07-01T04:20:05.932000,2024-07-01T04:32:38.926000,sell,0.09,0.09,GBPUSDm,1.26586,1.2656200000000002,,,0,0,2.16,,,user
1384793268,2024-07-01T03:44:58.017000,2024-07-01T04:12:33.994000,sell,0.09,0.09,GBPUSDm,1.26554,1.2659500000000001,1.2659500000000001,,0,0,-3.69,,,sl
1384790706,2024-07-01T03:43:53.595000,2024-07-01T04:05:28.937000,sell,0.05,0.05,EURUSDm,1.07517,1.0756000000000001,1.0756000000000001,,0,0,-2.15,,,sl
1384473080,2024-07-01T00:09:49.708000,2024-07-01T03:34:48.404000,buy,0.02,0.02,XAUUSDm,2323.37,2325.897,2325.897,,0,0,5.05,,,sl
1384118690,2024-06-30T08:54:22.711000,2024-06-30T10:03:45.175000,buy,0.01,0.01,BTCUSDm,61499.09,61515.1,,,0,0,0.16,,,user
1384118622,2024-06-30T08:53:47.271000,2024-06-30T09:49:40.136000,buy,0.01,0.01,BTCUSDm,61477.47,61508.07,,,0,0,0.31,,,user
1383472324,2024-06-28T16:07:41.419000,2024-06-28T17:21:41.481000,buy,0.01,0.01,BTCUSDm,60955.42,60966.98,,,0,0,0.12,,,user
1383134635,2024-06-28T14:05:39.200000,2024-06-28T14:14:28.580000,buy,0.09,0.09,GBPUSDm,1.26287,1.2634100000000001,,,0,0,4.86,,,user
1382983724,2024-06-28T13:28:17.768000,2024-06-28T13:42:00.177000,buy,0.09,0.09,GBPUSDm,1.26391,1.26392,1.26392,,0,0,0.09,,,sl
1382955460,2024-06-28T13:21:50.410000,2024-06-28T13:26:58.137000,buy,0.09,0.09,GBPUSDm,1.26406,1.26407,1.26407,,0,0,0.09,,,sl
1382779359,2024-06-28T12:37:05.413000,2024-06-28T13:08:59.933000,buy,0.02,0.02,XAUUSDm,2337.404,2337.556,,,0,0,0.3,,,user
1382743527,2024-06-28T12:31:41.282000,2024-06-28T12:54:57.705000,buy,0.01,0.01,XAUUSDm,2336.051,2337.382,2331.159,,0,0,1.33,,,user
1382712786,2024-06-28T12:28:32.183000,2024-06-28T12:30:04.644000,sell,0.03,0.03,USDCADm,1.37015,1.37069,1.37069,,0,0,-1.18,,,sl
1382671235,2024-06-28T12:08:12.834000,2024-06-28T12:26:46.035000,buy,0.01,0.01,XAUUSDm,2333.668,2333.741,2329.359,,0,0,0.07,,,user
1382662637,2024-06-28T12:03:22.756000,2024-06-28T12:15:37.137000,buy,0.01,0.01,BTCUSDm,61743.87,61757.18,61208.88,,0,0,0.13,,,user
1382569707,2024-06-28T11:04:16.695000,2024-06-28T11:18:40.510000,sell,0.09,0.09,GBPUSDm,1.26542,1.26515,1.26515,,0,0,2.43,,,sl
1382547382,2024-06-28T10:53:43.552000,2024-06-28T11:03:04.715000,sell,0.02,0.02,XAUUSDm,2335.571,2337.167,2337.167,,0,0,-3.19,,,sl
1382394590,2024-06-28T09:48:50.383000,2024-06-28T10:14:02.752000,sell,0.02,0.02,XAUUSDm,2329.454,2330.691,2330.691,,0,0,-2.47,,,sl
1382040428,2024-06-28T06:46:27.014000,2024-06-28T07:00:32.547000,sell,0.01,0.01,USOILm,81.828,81.969,81.969,,0,0,-1.41,,,sl
1372318606,2024-06-24T03:17:16.924000,2024-06-24T05:23:10.927000,buy,0.03,0.03,BTCUSDm,63051.77,62527.73,,,0,0,-15.72,-0.6,,so
1372287002,2024-06-24T02:54:54.898000,2024-06-24T03:13:52.342000,sell,0.02,0.02,XAUUSDm,2324.372,2326.247,2326.247,,0,0,-3.75,,,sl
1371943386,2024-06-23T22:17:22.975000,2024-06-24T01:52:22.459000,buy,0.01,0.01,XAUUSDm,2321.13,2324.944,2324.944,,0,0,3.81,,,sl
1371685472,2024-06-22T08:44:21.510000,2024-06-23T00:41:43.170000,buy,0.03,0.03,BTCUSDm,64338.45,64431.39,,,0,0,2.79,,,user
1371651962,2024-06-22T02:59:56.631000,2024-06-22T05:04:45.182000,buy,0.01,0.01,BTCUSDm,64315.14,64316.88,64316.88,,0,0,0.02,,,sl
1371255669,2024-06-21T17:05:38.721000,2024-06-21T18:03:17.775000,buy,0.01,0.01,BTCUSDm,63734.17,63637.43,63637.43,,0,0,-0.97,,,sl
