ticket,opening_time_utc,closing_time_utc,type,lots,original_position_size,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd,equity_usd,margin_level,close_reason
941830466,2024-05-30T05:41:17.052000,2024-05-30T12:11:52.718000,buy,0.01,0.01,XAUUSDm,2325.979,2333,2333,,0,0,7.02,,,sl
942832655,2024-05-30T12:09:14.674000,2024-05-30T12:09:19.890000,buy,0.01,0.01,USOILm,78.754,78.72800000000001,78.454,,0,0,-0.26,,,user
941323375,2024-05-30T01:36:31.980000,2024-05-30T02:41:02.957000,buy,0.01,0.01,XAUUSDm,2335.496,2330.496,2330.496,,0,0,-5,,,sl
939348884,2024-05-29T13:08:01.048000,2024-05-29T13:49:38.109000,sell,0.01,0.01,EURJPYm,170.362,170.6,170.6,,0,0,-1.51,,,sl
939190752,2024-05-29T12:20:29.931000,2024-05-29T13:49:38.108000,sell,0.02,0.02,EURJPYm,170.732,170.6,170.6,,0,0,1.68,,,sl
939117067,2024-05-29T11:51:40.350000,2024-05-29T13:49:38.107000,sell,0.02,0.02,EURJPYm,170.594,170.6,170.6,,0,0,-0.08,,,sl
939119168,2024-05-29T11:52:24.686000,2024-05-29T11:53:31.361000,buy,0.01,0.01,XAUUSDm,2341.673,2338.673,2338.673,,0,0,-3,,,sl
939019823,2024-05-29T10:57:46.123000,2024-05-29T11:46:21.146000,sell,0.02,0.02,EURJPYm,170.597,170.59,170.59,,0,0,0.09,,,sl
938873525,2024-05-29T09:31:09.759000,2024-05-29T09:50:12.523000,sell,0.01,0.01,EURJPYm,170.453,170.549,170.6,,0,0,-0.61,,,user
937969626,2024-05-29T01:08:16.878000,2024-05-29T09:50:04.235000,sell,0.01,0.01,EURJPYm,170.773,170.55,170.55,,0,0,1.42,,,sl
936656662,2024-05-28T15:35:01.810000,2024-05-29T09:50:04.234000,sell,0.01,0.01,EURJPYm,170.685,170.55,170.55,,0,0,0.86,,,sl
938333449,2024-05-29T06:07:49.039000,2024-05-29T09:50:04.234000,sell,0.01,0.01,EURJPYm,170.46,170.55,170.55,,0,0,-0.57,,,sl
938496416,2024-05-29T06:50:14.131000,2024-05-29T08:10:44.957000,sell,0.01,0.01,USOILm,80.052,80.252,80.252,,0,0,-2,,,sl
938453122,2024-05-29T06:30:30.868000,2024-05-29T08:00:01.642000,buy,0.01,0.01,EURUSDm,1.08508,1.08498,1.08498,,0,0,-0.1,,,sl
936512833,2024-05-28T14:38:04.621000,2024-05-28T15:22:00.519000,sell,0.01,0.01,USOILm,79.275,79.525,79.525,,0,0,-2.5,,,sl
935282331,2024-05-28T06:41:28.117000,2024-05-28T13:45:16.014000,buy,0.01,0.01,XAUUSDm,2343.05,2356,2356,2368,0,0,12.95,,,sl
935318109,2024-05-28T06:55:30.914000,2024-05-28T13:45:16.012000,buy,0.01,0.01,XAUUSDm,2342.439,2356,2356,23628,0,0,13.56,,,sl
935188489,2024-05-28T06:20:39.058000,2024-05-28T07:40:01.788000,sell,0.01,0.01,EURJPYm,170.58,170.7,170.7,,0,0,-0.76,,,sl
933215390,2024-05-27T13:02:17.165000,2024-05-28T06:12:12.962000,buy,0.01,0.01,XAUUSDm,2346.332,2347,2347,,0,0,0.67,,,sl
932688446,2024-05-27T08:10:58.689000,2024-05-28T06:12:12.958000,buy,0.01,0.01,XAUUSDm,2340.697,2347,2347,,0,0,6.3,,,sl
934592259,2024-05-28T01:09:44.270000,2024-05-28T05:56:27.800000,sell,0.01,0.01,EURJPYm,170.413,170.613,170.613,,0,0,-1.28,,,sl
932816880,2024-05-27T09:17:52.024000,2024-05-27T10:14:08.957000,sell,0.01,0.01,USOILm,77.872,78.072,78.072,,0,0,-2,,,sl
930324215,2024-05-24T10:20:37.918000,2024-05-27T08:04:56.923000,buy,0.01,0.01,USOILm,76.12,77.65,77.65,,0,0,15.3,,,sl
931473938,2024-05-25T03:17:46.561000,2024-05-25T07:47:40.128000,sell,0.01,0.01,BTCUSDm,68638.45,68756.36,69100,,0,0,-1.18,,,user
930274600,2024-05-24T09:44:34.360000,2024-05-24T10:24:07.979000,sell,0.01,0.01,EURJPYm,170.005,170.155,170.155,,0,0,-0.96,,,sl
930176140,2024-05-24T08:43:08.560000,2024-05-24T09:28:00.472000,buy,0.01,0.01,USOILm,76.401,76.101,76.101,,0,0,-3,,,sl
928003012,2024-05-23T17:19:42.430000,2024-05-24T07:44:43.952000,buy,0.01,0.01,USOILm,76.43,76.42,76.42,,0,0,-0.1,,,sl
927979853,2024-05-23T17:00:26.429000,2024-05-23T17:06:35.750000,buy,0.01,0.01,XAUUSDm,2341.414,2340.49,2340.49,,0,0,-0.92,,,sl
